Merkmal_IDs;Merkmal_ID;Merkmalbezeichnung;Datentyp;Klassifikationssystem_ID
AAB215;AAB215f001;DIN 6319;logisch;pc-5.1
AAB217;AAB217f001;Fachtiefe;numerisch;pc-5.1
AAB218;AAB218f001;Feldlast;numerisch;pc-5.1
AAB219;AAB219f001;Fachlast;numerisch;pc-5.1
AAB221;AAB221f001;Anwendung;alphanumerisch;pc-5.1
AAB222;AAB222f001;Oberfläche;alphanumerisch;pc-5.1
AAB223;AAB223f001;Material;alphanumerisch;pc-5.1
AAB225;AAB225f001;RAL-Gütezeichen;logisch;pc-5.1
AAB226;AAB226f001;Aussteifung;alphanumerisch;pc-5.1
AAB227;AAB227f001;Fachbodenart;alphanumerisch;pc-5.1
AAB228;AAB228f001;Ausführung Fachebene;alphanumerisch;pc-5.1
AAB229;AAB229f001;Anzahl Fachebenen;numerisch;pc-5.1
AAB230;AAB230f001;Rahmenhöhe;numerisch;pc-5.1
AAB231;AAB231f001;Rahmentiefe;numerisch;pc-5.1
AAB232;AAB232f001;Rahmenausführung;alphanumerisch;pc-5.1
AAB233;AAB233f001;Vormontiert;logisch;pc-5.1
AAB236;AAB236f001;Achsmaß;numerisch;pc-5.1
AAB237;AAB237f001;Gesamttragkraft;numerisch;pc-5.1
AAB238;AAB238f001;Tragkraft pro Arm;numerisch;pc-5.1
AAB239;AAB239f001;Anzahl Ständer;numerisch;pc-5.1
AAB240;AAB240f001;Neigung der Ständer;numerisch;pc-5.1
AAB241;AAB241f001;Horizontallast;numerisch;pc-5.1
AAB242;AAB242f001;Achsaufnahme;numerisch;pc-5.1
AAB248;AAB248f001;Ausgangshöhe;numerisch;pc-5.1
AAB249;AAB249f001;Arbeitsplatte;alphanumerisch;pc-5.1
AAB250;AAB250f001;Stärke Arbeitsplatte;numerisch;pc-5.1
AAB251;AAB251f001;Anzahl Gehäuseabteile;numerisch;pc-5.1
AAB252;AAB252f001;Anzahl Schubladen;numerisch;pc-5.1
AAB253;AAB253f001;Auszugsart;alphanumerisch;pc-5.1
AAB254;AAB254f001;Min. Schubladenbelastbarkeit;numerisch;pc-5.1
AAB255;AAB255f001;Anzahl Flügeltüren;numerisch;pc-5.1
AAB256;AAB256f001;Schließart;alphanumerisch;pc-5.1
AAB257;AAB257f001;Untergestell;alphanumerisch;pc-5.1
AAB258;AAB258f001;Höhenverstellbar;logisch;pc-5.1
AAB259;AAB259f001;Fahrbar;logisch;pc-5.1
AAB260;AAB260f001;Flächenbelastbarkeit;numerisch;pc-5.1
AAB261;AAB261f001;Anzahl Ablageböden;numerisch;pc-5.1
AAB262;AAB262f001;Anzahl Hängeschränke;numerisch;pc-5.1
AAB263;AAB263f001;Regallänge;numerisch;pc-5.1
AAB264;AAB264f001;Nutztiefe;numerisch;pc-5.1
AAB265;AAB265f001;Systemart;alphanumerisch;pc-5.1
AAB267;AAB267f001;Bauartzulassung;logisch;pc-5.1
AAB268;AAB268f001;Anzahl Fachboden (in Schränken);numerisch;pc-5.1
AAB269;AAB269f001;Anzahl Schubladen (in Schränken);numerisch;pc-5.1
AAB270;AAB270f001;Anzahl Unterbauschränke;numerisch;pc-5.1
AAB271;AAB271f001;Kantenschutz;logisch;pc-5.1
AAB272;AAB272f001;Sicherungsbügel;logisch;pc-5.1
AAB273;AAB273f001;Plattenlänge ohne Spannbacken;numerisch;pc-5.1
AAB274;AAB274f001;Plattenbreite mit Mulde;numerisch;pc-5.1
AAB275;AAB275f001;Plattenbreite ohne Mulde;numerisch;pc-5.1
AAB276;AAB276f001;Plattendicke;numerisch;pc-5.1
AAB277;AAB277f001;Spannbackenbreite;numerisch;pc-5.1
AAB278;AAB278f001;Spannbackentiefe;numerisch;pc-5.1
AAB279;AAB279f001;Spannbackenhöhe;numerisch;pc-5.1
AAB280;AAB280f001;Anzahl Backenhaken;numerisch;pc-5.1
AAB281;AAB281f001;Anzahl Zangenschlüssel;numerisch;pc-5.1
AAB282;AAB282f001;Unterbau;alphanumerisch;pc-5.1
AAB283;AAB283f001;Anzahl Auszüge;numerisch;pc-5.1
AAB284;AAB284f001;Anzahl Einlegeböden;numerisch;pc-5.1
AAB285;AAB285f001;Volumen Bodenauffangwanne;numerisch;pc-5.1
AAB286;AAB286f001;Feststellanlage;logisch;pc-5.1
AAB287;AAB287f001;Minuten Feuerwiderstandsfähigkeit;numerisch;pc-5.1
AAB288;AAB288f001;Traglast Boden;numerisch;pc-5.1
AAB289;AAB289f001;Breite (gesamt);numerisch;pc-5.1
AAB290;AAB290f001;Tiefe (gesamt);numerisch;pc-5.1
AAB291;AAB291f001;Höhe (gesamt);numerisch;pc-5.1
AAB292;AAB292f001;Modul für brennbare Flüssigkeiten;logisch;pc-5.1
AAB293;AAB293f001;Modul für Säuren/Laugen;logisch;pc-5.1
AAB294;AAB294f001;Werkstoff Auszugswannen;alphanumerisch;pc-5.1
AAB295;AAB295f001;Traglast Auszüge;numerisch;pc-5.1
AAB296;AAB296f001;Modul für Chemikalien/Gifte;logisch;pc-5.1
AAB297;AAB297f001;Anzahl Fässer (200 l);numerisch;pc-5.1
AAB298;AAB298f001;Flächenlast Gitterroste;numerisch;pc-5.1
AAB299;AAB299f001;Notentriegelung von Innen;logisch;pc-5.1
AAB300;AAB300f001;Unterfahrhöhe;numerisch;pc-5.1
AAB301;AAB301f001;Nutzbare Innenhöhe;numerisch;pc-5.1
AAB302;AAB302f001;Sockel;logisch;pc-5.1
AAB303;AAB303f001;Höhe Sockel;numerisch;pc-5.1
AAB304;AAB304f001;Anzahl Lochblecheinsätze;numerisch;pc-5.1
AAB305;AAB305f001;Anschlussmaß NW;numerisch;pc-5.1
AAB306;AAB306f001;Luftmenge 10-fach;numerisch;pc-5.1
AAB307;AAB307f001;Bodenabsaugung;logisch;pc-5.1
AAB308;AAB308f001;Luftmenge mit Bodenabsaugung;numerisch;pc-5.1
AAB309;AAB309f001;Druckverlust bei 10fachem LW;numerisch;pc-5.1
AAB310;AAB310f001;Druckverlust mit Bodenabsaugung;numerisch;pc-5.1
AAB312;AAB312f001;Anzahl Auszugswannen;numerisch;pc-5.1
AAB313;AAB313f001;Materialstärke Stahlblech;numerisch;pc-5.1
AAB314;AAB314f001;Farbe in RAL Korpus;numerisch;pc-5.1
AAB315;AAB315f001;Anzahl Flaschen;numerisch;pc-5.1
AAB316;AAB316f001;Luftmenge 120-fach;numerisch;pc-5.1
AAB317;AAB317f001;Druckverlust;numerisch;pc-5.1
AAB318;AAB318f001;Anzahl Flaschenhalter;numerisch;pc-5.1
AAB319;AAB319f001;Feuerbeständig;logisch;pc-5.1
AAB321;AAB321f001;Inkl. Bodenplatte;logisch;pc-5.1
AAB322;AAB322f001;Oberflächenbehandlung;alphanumerisch;pc-5.1
AAB323;AAB323f001;Transportzulassung Straße/Schiene;logisch;pc-5.1
AAB324;AAB324f001;Bereifung;alphanumerisch;pc-5.1
AAB325;AAB325f001;Werkstoff Auffangwanne;alphanumerisch;pc-5.1
AAB326;AAB326f001;Plattenlänge ohne Zangen;numerisch;pc-5.1
AAB327;AAB327f001;Plattentiefe mit Beilade, ohne Zangen;numerisch;pc-5.1
AAB328;AAB328f001;Höhe der Bankhakenleiste;numerisch;pc-5.1
AAB329;AAB329f001;Bankhaken;numerisch;pc-5.1
AAB330;AAB330f001;Vorderzange;logisch;pc-5.1
AAB331;AAB331f001;Hinterzange;logisch;pc-5.1
AAB332;AAB332f001;Plattenlänge einschl. Zangen;numerisch;pc-5.1
AAB333;AAB333f001;Plattentiefe einschl. Zangen;numerisch;pc-5.1
AAB334;AAB334f001;Max. Spannweite Vorderzange;numerisch;pc-5.1
AAB335;AAB335f001;Max. Spannweite Hinterzange;numerisch;pc-5.1
AAB336;AAB336f001;Plattentiefe ohne Beilade, ohne Zangen;numerisch;pc-5.1
AAB337;AAB337f001;Zangenschlüssel;numerisch;pc-5.1
AAB339;AAB339f001;Max. Fachtiefe;numerisch;pc-5.1
AAB341;AAB341f001;Min. Fachbodentiefe;numerisch;pc-5.1
AAB342;AAB342f001;Max. Fachbodentiefe;numerisch;pc-5.1
AAB343;AAB343f001;Anschlag;logisch;pc-5.1
AAB344;AAB344f001;Archivierungssystem;alphanumerisch;pc-5.1
AAB345;AAB345f001;Anlagenbreite;numerisch;pc-5.1
AAB346;AAB346f001;Anlagenhöhe;numerisch;pc-5.1
AAB347;AAB347f001;Anlagenlänge;numerisch;pc-5.1
AAB348;AAB348f001;Vergütung Klingenmaterial;alphanumerisch;pc-5.1
AAB349;AAB349f001;Torsion;logisch;pc-5.1
AAB350;AAB350f001;Norm (Antriebsform);alphanumerisch;pc-5.1
AAB351;AAB351f001;Antriebsform;alphanumerisch;pc-5.1
AAB352;AAB352f001;Antriebsgröße;numerisch;pc-5.1
AAB353;AAB353f001;Antriebsgröße (in Zoll);alphanumerisch;pc-5.1
AAB354;AAB354f001;Antriebsgröße (Gewindegröße);alphanumerisch;pc-5.1
AAB356;AAB356f001;Demontageschutz;logisch;pc-5.1
AAB357;AAB357f001;Mit Bohrung;logisch;pc-5.1
AAB358;AAB358f001;Gesamtbreite;numerisch;pc-5.1
AAB359;AAB359f001;Gesamthöhe;numerisch;pc-5.1
AAB360;AAB360f001;Ladeflächenlänge;numerisch;pc-5.1
AAB361;AAB361f001;Ladeflächenbreite;numerisch;pc-5.1
AAB362;AAB362f001;Ladeflächenhöhe;numerisch;pc-5.1
AAB363;AAB363f001;Art der Bereifung;alphanumerisch;pc-5.1
AAB364;AAB364f001;Raddurchmesser;numerisch;pc-5.1
AAB366;AAB366f001;Anzahl Lenkrollen;numerisch;pc-5.1
AAB367;AAB367f001;Radfeststeller;logisch;pc-5.1
AAB368;AAB368f001;Wandart;alphanumerisch;pc-5.1
AAB369;AAB369f001;Anzahl Wände;numerisch;pc-5.1
AAB370;AAB370f001;Wandhöhe;numerisch;pc-5.1
AAB371;AAB371f001;Mit Deckel;logisch;pc-5.1
AAB372;AAB372f001;Mit Wand;logisch;pc-5.1
AAB373;AAB373f001;Gabellänge;numerisch;pc-5.1
AAB374;AAB374f001;Tragbreite;numerisch;pc-5.1
AAB375;AAB375f001;Gabelzinkenbreite;numerisch;pc-5.1
AAB376;AAB376f001;Gabelhöhe gesenkt;numerisch;pc-5.1
AAB377;AAB377f001;Bereifung Lenkräder;alphanumerisch;pc-5.1
AAB378;AAB378f001;Bereifung Gabelrollen;alphanumerisch;pc-5.1
AAB379;AAB379f001;Tandem Gabelrollen;logisch;pc-5.1
AAB380;AAB380f001;Mit Bremse;logisch;pc-5.1
AAB381;AAB381f001;Mit Wiegesystem;logisch;pc-5.1
AAB382;AAB382f001;Wenderadius;numerisch;pc-5.1
AAB383;AAB383f001;Gabelbreite;numerisch;pc-5.1
AAB384;AAB384f001;Lastschwerpunkt;numerisch;pc-5.1
AAB385;AAB385f001;Bauhöhe eingefahren;numerisch;pc-5.1
AAB386;AAB386f001;Bauhöhe ausgefahren;numerisch;pc-5.1
AAB387;AAB387f001;Freihub;numerisch;pc-5.1
AAB388;AAB388f001;Arbeitsgangbreite nach VDI 2198;numerisch;pc-5.1
AAB389;AAB389f001;Gabelrollen Tandem;logisch;pc-5.1
AAB390;AAB390f001;Fahrantrieb;logisch;pc-5.1
AAB391;AAB391f001;Leistung Hubmotor;numerisch;pc-5.1
AAB392;AAB392f001;Leistung Fahrmotor;numerisch;pc-5.1
AAB393;AAB393f001;Leistung Batterie;numerisch;pc-5.1
AAB394;AAB394f001;Elektrohydraulischer Hub;logisch;pc-5.1
AAB395;AAB395f001;Tischhöhe gehoben;numerisch;pc-5.1
AAB396;AAB396f001;Tischhöhe gesenkt;numerisch;pc-5.1
AAB397;AAB397f001;Hubmechanismus;alphanumerisch;pc-5.1
AAB398;AAB398f001;Tisch neigbar;logisch;pc-5.1
AAB399;AAB399f001;Neigungswinkel;numerisch;pc-5.1
AAB400;AAB400f001;Hebekippantrieb;alphanumerisch;pc-5.1
AAB401;AAB401f001;Betriebsspannung;numerisch;pc-5.1
AAB402;AAB402f001;Leistung;numerisch;pc-5.1
AAB403;AAB403f001;Spannutlänge;numerisch;pc-5.1
AAB404;AAB404f001;Schneidstoff;alphanumerisch;pc-5.1
AAB405;AAB405f001;Kühlkanal;logisch;pc-5.1
AAB407;AAB407f001;Morsekegelgröße;numerisch;pc-5.1
AAB408;AAB408f001;Stufendurchmesser;numerisch;pc-5.1
AAB409;AAB409f001;Stufenlänge;numerisch;pc-5.1
AAB410;AAB410f001;Mit Fläche;logisch;pc-5.1
AAB412;AAB412f001;Anzahl Nuten;numerisch;pc-5.1
AAB413;AAB413f001;Kegel-Größe;numerisch;pc-5.1
AAB414;AAB414f001;Min. Bohrbereich;numerisch;pc-5.1
AAB415;AAB415f001;Max. Bohrbereich;numerisch;pc-5.1
AAB416;AAB416f001;Schaftform;alphanumerisch;pc-5.1
AAB417;AAB417f001;Achse;alphanumerisch;pc-5.1
AAB418;AAB418f001;Achsverlängerung;alphanumerisch;pc-5.1
AAB419;AAB419f001;Anordnung;alphanumerisch;pc-5.1
AAB421;AAB421f001;Anschlagsart;alphanumerisch;pc-5.1
AAB422;AAB422f001;Anwenderrelevante Ausführung;alphanumerisch;pc-5.1
AAB426;AAB426f001;Art des Zylinders (elektronische Ausf.);alphanumerisch;pc-5.1
AAB427;AAB427f001;Art des Zylinders (mechanisch);alphanumerisch;pc-5.1
AAB428;AAB428f001;Art des Zylinders (mechanische Ausf.);alphanumerisch;pc-5.1
AAB429;AAB429f001;Ausführung (Abdeckung);alphanumerisch;pc-5.1
AAB431;AAB431f001;Ausgangsspannung;alphanumerisch;pc-5.1
AAB432;AAB432f001;Bandhöhe (mm);alphanumerisch;pc-5.1
AAB433;AAB433f001;Bandkonstruktion;alphanumerisch;pc-5.1
AAB434;AAB434f001;Bandverstellbarkeit;alphanumerisch;pc-5.1
AAB435;AAB435f001;Befestigungsart;alphanumerisch;pc-5.1
AAB436;AAB436f001;Befestigungsmaß;alphanumerisch;pc-5.1
AAB437;AAB437f001;Beschlagart;alphanumerisch;pc-5.1
AAB438;AAB438f001;Beschlagausführung;alphanumerisch;pc-5.1
AAB440;AAB440f001;Betätigung;alphanumerisch;pc-5.1
AAB441;AAB441f001;Betriebssystem;alphanumerisch;pc-5.1
AAB444;AAB444f001;Dornmaß;numerisch;pc-5.1
AAB445;AAB445f001;Dübel;alphanumerisch;pc-5.1
AAB448;AAB448f001;Eignung für Aufnahmeelement;alphanumerisch;pc-5.1
AAB449;AAB449f001;Eignung für Türgewicht;alphanumerisch;pc-5.1
AAB450;AAB450f001;Eignung für Türmaterial;alphanumerisch;pc-5.1
AAB452;AAB452f001;Entfernung;numerisch;pc-5.1
AAB453;AAB453f001;Falzraum;alphanumerisch;pc-5.1
AAB454;AAB454f001;Farbton;alphanumerisch;pc-5.1
AAB456;AAB456f001;Farbton (Stulp);alphanumerisch;pc-5.1
AAB457;AAB457f001;Feder;alphanumerisch;pc-5.1
AAB460;AAB460f001;Funktion;alphanumerisch;pc-5.1
AAB462;AAB462f001;Gleitschiene/Gestänge/mech. Feststellung;alphanumerisch;pc-5.1
AAB464;AAB464f001;Griffdicke;alphanumerisch;pc-5.1
AAB465;AAB465f001;Griffsitz;alphanumerisch;pc-5.1
AAB466;AAB466f001;Größe und Breite nach DIN EN 1154;alphanumerisch;pc-5.1
AAB467;AAB467f001;Hub;numerisch;pc-5.1
AAB468;AAB468f001;Kennzeichnung;alphanumerisch;pc-5.1
AAB470;AAB470f001;Kloben;alphanumerisch;pc-5.1
AAB471;AAB471f001;Kopfausbildung;alphanumerisch;pc-5.1
AAB472;AAB472f001;Material (Bügel);alphanumerisch;pc-5.1
AAB473;AAB473f001;Material (Falle/Riegel);alphanumerisch;pc-5.1
AAB475;AAB475f001;Material (Schlüssel);alphanumerisch;pc-5.1
AAB476;AAB476f001;Material (Stulp);alphanumerisch;pc-5.1
AAB478;AAB478f001;Montageart;alphanumerisch;pc-5.1
AAB479;AAB479f001;Nockendurchmesser;numerisch;pc-5.1
AAB480;AAB480f001;Nuss;alphanumerisch;pc-5.1
AAB482;AAB482f001;Oberfläche Griff;alphanumerisch;pc-5.1
AAB485;AAB485f001;Oberfläche/Farbe;alphanumerisch;pc-5.1
AAB486;AAB486f001;Öffnungsart;alphanumerisch;pc-5.1
AAB487;AAB487f001;Öffnungsrichtung;alphanumerisch;pc-5.1
AAB488;AAB488f001;Programmfunktion;alphanumerisch;pc-5.1
AAB491;AAB491f001;Schließnase;alphanumerisch;pc-5.1
AAB492;AAB492f001;Schließungsart;alphanumerisch;pc-5.1
AAB493;AAB493f001;Schließweg;alphanumerisch;pc-5.1
AAB494;AAB494f001;Schließwinkel;alphanumerisch;pc-5.1
AAB495;AAB495f001;Schlossklasse;alphanumerisch;pc-5.1
AAB496;AAB496f001;Schlüsselausführung;alphanumerisch;pc-5.1
AAB497;AAB497f001;Schlüsselführung;alphanumerisch;pc-5.1
AAB498;AAB498f001;Schrauben;alphanumerisch;pc-5.1
AAB501;AAB501f001;Shore;alphanumerisch;pc-5.1
AAB503;AAB503f001;Stiftausführung (Bandachse);alphanumerisch;pc-5.1
AAB504;AAB504f001;Stiftvorstand;numerisch;pc-5.1
AAB506;AAB506f001;Stulpbreite/Flachstulp;numerisch;pc-5.1
AAB508;AAB508f001;Tragzapfen;alphanumerisch;pc-5.1
AAB509;AAB509f001;Türart;alphanumerisch;pc-5.1
AAB510;AAB510f001;Türdicke;numerisch;pc-5.1
AAB511;AAB511f001;U-Scheiben;alphanumerisch;pc-5.1
AAB512;AAB512f001;Verriegelungsart;alphanumerisch;pc-5.1
AAB513;AAB513f001;Vierkantstiftmaß;numerisch;pc-5.1
AAB514;AAB514f001;Wechsel;alphanumerisch;pc-5.1
AAB517;AAB517f001;Zylindermaterial;alphanumerisch;pc-5.1
AAB518;AAB518f001;Anzahl Regalböden;numerisch;pc-5.1
AAB519;AAB519f001;Anzahl Schränke;numerisch;pc-5.1
AAB520;AAB520f001;Art der Arbeitsplatte;alphanumerisch;pc-5.1
AAB521;AAB521f001;Anzahl Bockrollen;numerisch;pc-5.1
AAB522;AAB522f001;Anzahl Bügelaufnahmen;numerisch;pc-5.1
AAB523;AAB523f001;Art der Plattenständer;alphanumerisch;pc-5.1
AAB524;AAB524f001;Ladehöhe;numerisch;pc-5.1
AAB525;AAB525f001;Anzahl der Bordwände;numerisch;pc-5.1
AAB526;AAB526f001;Ausführung Bordwände;alphanumerisch;pc-5.1
AAB527;AAB527f001;Art der Bordwände;alphanumerisch;pc-5.1
AAB528;AAB528f001;Anzahl Räder;numerisch;pc-5.1
AAB529;AAB529f001;Bremse;logisch;pc-5.1
AAB530;AAB530f001;Anzahl Drehschemel Achsen;numerisch;pc-5.1
AAB531;AAB531f001;Art Ladefläche;alphanumerisch;pc-5.1
AAB533;AAB533f001;Untere Ladeflächenhöhe;numerisch;pc-5.1
AAB534;AAB534f001;Obere Ladenflächenhöhe;numerisch;pc-5.1
AAB535;AAB535f001;Anzahl der Ladeflächen;numerisch;pc-5.1
AAB536;AAB536f001;Schaufelgröße/Länge;numerisch;pc-5.1
AAB537;AAB537f001;Schaufelgröße/Breite;numerisch;pc-5.1
AAB538;AAB538f001;Bügel klappbar;logisch;pc-5.1
AAB539;AAB539f001;Schaufel klappbar;logisch;pc-5.1
AAB540;AAB540f001;Kufen;logisch;pc-5.1
AAB541;AAB541f001;Ausführung Radstern;alphanumerisch;pc-5.1
AAB542;AAB542f001;Stützrad;logisch;pc-5.1
AAB543;AAB543f001;Flaschenanzahl;numerisch;pc-5.1
AAB544;AAB544f001;Flaschenvolumen;numerisch;pc-5.1
AAB545;AAB545f001;Fassausführung;alphanumerisch;pc-5.1
AAB546;AAB546f001;Bahnlänge;numerisch;pc-5.1
AAB547;AAB547f001;Nutzbreite;numerisch;pc-5.1
AAB548;AAB548f001;Rollenteilung;numerisch;pc-5.1
AAB549;AAB549f001;Max. Tragkraft;numerisch;pc-5.1
AAB550;AAB550f001;Innenradius;numerisch;pc-5.1
AAB551;AAB551f001;Kurvenwinkel;numerisch;pc-5.1
AAB552;AAB552f001;Art des Rahmengerüstes;alphanumerisch;pc-5.1
AAB553;AAB553f001;Ausführung der Förderrollen;alphanumerisch;pc-5.1
AAB554;AAB554f001;Achsbefestigung;alphanumerisch;pc-5.1
AAB555;AAB555f001;Röllchenteilung;numerisch;pc-5.1
AAB556;AAB556f001;Anzahl Röllchen pro Achse;numerisch;pc-5.1
AAB557;AAB557f001;Röllchendurchmesser;numerisch;pc-5.1
AAB558;AAB558f001;Ausführung der Förderröllchen;alphanumerisch;pc-5.1
AAB559;AAB559f001;Max. Bahnlänge;numerisch;pc-5.1
AAB560;AAB560f001;Min. Bahnlänge;numerisch;pc-5.1
AAB561;AAB561f001;Förderrollendurchmesser;numerisch;pc-5.1
AAB562;AAB562f001;Max. Tragkraft zw. 2 Stützen;numerisch;pc-5.1
AAB563;AAB563f001;Anzahl Scheren;numerisch;pc-5.1
AAB564;AAB564f001;Art der Förderrollen;alphanumerisch;pc-5.1
AAB565;AAB565f001;Anzahl Stützfüße;numerisch;pc-5.1
AAB566;AAB566f001;Max. Höhenverstellung;numerisch;pc-5.1
AAB567;AAB567f001;Min. Höhenverstellung;numerisch;pc-5.1
AAB570;AAB570f001;Max. Fördergutdurchmesser;numerisch;pc-5.1
AAB571;AAB571f001;Art der Förderelemente;alphanumerisch;pc-5.1
AAB572;AAB572f001;Anzahl Tragfüße;numerisch;pc-5.1
AAB573;AAB573f001;Verfahrbar;logisch;pc-5.1
AAB574;AAB574f001;Mantellänge;numerisch;pc-5.1
AAB575;AAB575f001;Einbaulänge;numerisch;pc-5.1
AAB576;AAB576f001;Achslänge;numerisch;pc-5.1
AAB577;AAB577f001;Lagerbodenausführung;alphanumerisch;pc-5.1
AAB578;AAB578f001;Kugellagerausführung;alphanumerisch;pc-5.1
AAB579;AAB579f001;Achsdurchmesser;numerisch;pc-5.1
AAB580;AAB580f001;Achsenausführung;alphanumerisch;pc-5.1
AAB581;AAB581f001;Mantelmaterial;alphanumerisch;pc-5.1
AAB582;AAB582f001;Befestigungsuntergrund;alphanumerisch;pc-5.1
AAB583;AAB583f001;Feuerwiderstandsdauer;alphanumerisch;pc-5.1
AAB584;AAB584f001;Bohrlochnenndurchmesser;numerisch;pc-5.1
AAB585;AAB585f001;Max. Klemmdicke;numerisch;pc-5.1
AAB586;AAB586f001;Außengewinde;alphanumerisch;pc-5.1
AAB587;AAB587f001;Kopfform;alphanumerisch;pc-5.1
AAB588;AAB588f001;Durchsteckmontage;logisch;pc-5.1
AAB589;AAB589f001;Vorsteckmontage;logisch;pc-5.1
AAB590;AAB590f001;Abstandsmontage;logisch;pc-5.1
AAB591;AAB591f001;Mit Nocken;logisch;pc-5.1
AAB592;AAB592f001;Anzahl Schlüssel;numerisch;pc-5.1
AAB593;AAB593f001;Anzahl Zuhaltungselemente;numerisch;pc-5.1
AAB596;AAB596f001;Anzahl Finger;numerisch;pc-5.1
AAB597;AAB597f001;Gewinde;numerisch;pc-5.1
AAB599;AAB599f001;Bandmaße;numerisch;pc-5.1
AAB600;AAB600f001;Hubhöhe;numerisch;pc-5.1
AAB601;AAB601f001;Fachbreite;numerisch;pc-5.1
AAB602;AAB602f001;Beschichtungsstärke;numerisch;pc-5.1
AAB603;AAB603f001;Spannkraft;numerisch;pc-5.1
AAB604;AAB604f001;Innengewinde;numerisch;pc-5.1
AAB606;AAB606f001;Anschlussgewinde;numerisch;pc-5.1
AAB607;AAB607f001;Querschnitt;numerisch;pc-5.1
AAB609;AAB609f001;Spitzenwinkel;numerisch;pc-5.1
AAB610;AAB610f001;Baulänge A, außen;numerisch;pc-5.1
AAB611;AAB611f001;Baulänge B, innen;numerisch;pc-5.1
AAB612;AAB612f001;Öffnungsweite;numerisch;pc-5.1
AAB613;AAB613f001;Bandlänge;numerisch;pc-5.1
AAB615;AAB615f001;Form;numerisch;pc-5.1
AAB616;AAB616f001;Bügeldurchmesser;numerisch;pc-5.1
AAB617;AAB617f001;Lichte Bügelhöhe;numerisch;pc-5.1
AAB619;AAB619f001;Klasse;alphanumerisch;pc-5.1
AAB620;AAB620f001;Bodenlänge;numerisch;pc-5.1
AAB621;AAB621f001;Traglast;numerisch;pc-5.1
AAB622;AAB622f001;Auflast;numerisch;pc-5.1
AAB623;AAB623f001;Inhalt Liter;numerisch;pc-5.1
AAB625;AAB625f001;Anzahl der Unterteilungen;numerisch;pc-5.1
AAB626;AAB626f001;Leitfähig (ESD);logisch;pc-5.1
AAB627;AAB627f001;Länge außen;numerisch;pc-5.1
AAB628;AAB628f001;Breite außen;numerisch;pc-5.1
AAB629;AAB629f001;Höhe außen;numerisch;pc-5.1
AAB630;AAB630f001;Ausführung Boden;alphanumerisch;pc-5.1
AAB631;AAB631f001;Ausführung Wand;alphanumerisch;pc-5.1
AAB632;AAB632f001;Stapelbelastbarkeit;numerisch;pc-5.1
AAB633;AAB633f001;Leitfähigkeit (ESD);logisch;pc-5.1
AAB634;AAB634f001;stapelbar;logisch;pc-5.1
AAB635;AAB635f002;Anzahl der Einsatzkästen;numerisch;pc-5.1
AAB636;AAB636f001;Werkstoff Gehäuse;alphanumerisch;pc-5.1
AAB637;AAB637f001;Werkstoff Unterteilungen;alphanumerisch;pc-5.1
AAB638;AAB638f001;Länge (Tiefe);numerisch;pc-5.1
AAB639;AAB639f001;Anzahl der Sichtlagerkästen;numerisch;pc-5.1
AAB640;AAB640f001;Anzahl der Aufhängeleisten;numerisch;pc-5.1
AAB641;AAB641f001;Farbe RAL;numerisch;pc-5.1
AAB648;AAB648f001;Anzahl der Griffe;numerisch;pc-5.1
AAB649;AAB649f001;Vorschrift;alphanumerisch;pc-5.1
AAB650;AAB650f001;Min. Leiterlänge;numerisch;pc-5.1
AAB651;AAB651f002;Max. Leiterlänge;numerisch;pc-5.1
AAB652;AAB652f001;Senkrechte Leiterhöhe;numerisch;pc-5.1
AAB653;AAB653f001;Quertraverse;logisch;pc-5.1
AAB654;AAB654f001;Arbeitshöhe bis ca.;numerisch;pc-5.1
AAB655;AAB655f001;Sprosse/Stufe;alphanumerisch;pc-5.1
AAB656;AAB656f001;Gesamtanzahl der Sprossen/Stufen;numerisch;pc-5.1
AAB657;AAB657f001;Einhängbar;logisch;pc-5.1
AAB658;AAB658f001;Seilzug;logisch;pc-5.1
AAB659;AAB659f001;Leiterlänge;numerisch;pc-5.1
AAB660;AAB660f001;Plattform;logisch;pc-5.1
AAB661;AAB661f001;Plattformhöhe;numerisch;pc-5.1
AAB662;AAB662f001;Anzahl der Stufen/Sprossen inkl. eventueller Plattform;numerisch;pc-5.1
AAB663;AAB663f001;Lichte Höhe;numerisch;pc-5.1
AAB664;AAB664f001;Lichte Plattformweite;numerisch;pc-5.1
AAB665;AAB665f001;Ausladung/Aufstelllänge;numerisch;pc-5.1
AAB666;AAB666f001;Außenbreite;numerisch;pc-5.1
AAB667;AAB667f001;Geländer;alphanumerisch;pc-5.1
AAB668;AAB668f001;Anzahl der Stufen;numerisch;pc-5.1
AAB669;AAB669f001;Anzahl der Stufen inkl. Plattform;numerisch;pc-5.1
AAB670;AAB670f001;Ausführung Stufen/Plattform;alphanumerisch;pc-5.1
AAB671;AAB671f001;Senkrechte Höhe;numerisch;pc-5.1
AAB672;AAB672f002;Anzahl der Stufen inkl. eventueller Plattform;numerisch;pc-5.1
AAB673;AAB673f001;Plattformlänge;numerisch;pc-5.1
AAB674;AAB674f001;Plattformbreite;numerisch;pc-5.1
AAB675;AAB675f001;Standflächenlänge am Boden;numerisch;pc-5.1
AAB676;AAB676f001;Standflächenbreite am Boden;numerisch;pc-5.1
AAB677;AAB677f001;Haltebügel;logisch;pc-5.1
